ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
ACB,2021,3,0.00838798,1.97710316,0.81311332,0.04220357,4639572000000.0,2483401000000.0,,,,,,,,,,,
ACB,2021,4,0.00773492,2.0938999,0.80095881,0.04088562,4990387000000.0,2588235000000.0,,,,,,,,,,,
ACB,2022,1,0.00820889,1.87812404,0.84302154,0.04113459,4520511000000.0,2102615000000.0,,,,,,,,,,,
ACB,2022,2,0.00757886,1.8508766,0.84100221,0.04071348,4794322000000.0,2428495000000.0,,,,,,,,,,,
ACB,2022,3,0.01008342,1.37792328,0.84221849,0.04161132,5440672000000.0,3287535000000.0,,,,,,,,,,,
ACB,2022,4,0.00736009,1.5927328,0.7982602,0.042649,5606390000000.0,3943148000000.0,,,,,,,,,,,
ACB,2023,1,0.00973271,1.16605295,0.78741901,0.04311085,6032250000000.0,3586992000000.0,,,,,,,,,,,
ACB,2023,2,0.0106485,1.0761285,0.79991197,0.04262827,6454217000000.0,2870518000000.0,,,,,,,,,,,
ACB,2023,3,0.01200827,0.94620051,0.81526851,0.04139478,6215154000000.0,4135029000000.0,,,,,,,,,,,
ACB,2023,4,0.01207384,0.91162679,0.79177711,0.03870226,6245672000000.0,3865846000000.0,,,,,,,,,,,
ACB,2024,1,0.01451926,0.78555071,0.81474013,0.03835206,6209128000000.0,4037579000000.0,,,,,,,,,,,
ACB,2024,2,0.01476406,0.7779675,0.83793111,0.03769019,6289616000000.0,4006279000000.0,,,,,,,,,,,
ACB,2024,3,0.01491319,0.80491627,0.83813048,0.03692968,6721518000000.0,3905419000000.0,,,,,,,,,,,
