ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,GrowthComponent.AverageLoansGrowthPercentageYoY,GrowthComponent.AverageDepositGrowthPercentageYoY,GrowthComponent.InterestincomeGrowthPercentageYoY,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Growth.NetRevenueGrowthYoY,Growth.EBTgrowthYoY,Revenue,EBIT
ACB,2025,,0.01256726,0.76329945,0.81971287,0.03183744,0.15411582,0.10887541,0.02554416,18944792000000.0,9602746000000.0,,,,,,,,,,,,,
ACB,2025,,0.01094801,0.84022344,0.85933766,0.03023984,0.20936714,0.1150216,-0.00412209,23533529000000.0,13688193000000.0,,,,,,,,,,,,,
ACB,2025,,0.00971405,1.14290012,0.81779776,0.0291549,0.18330262,0.08910327,-0.03198476,24959570000000.0,16044733000000.0,,,,,,,,,,,,,
ACB,2025,,0.00971405,1.14290012,0.81779776,0.0291549,0.18330262,0.08910327,-0.03198476,27794702000000.0,16789768000000.0,,,,,,,,,,,,,
ACB,2026,,0.00967046,1.13967133,0.84030121,0.02863557,0.18361812,0.03403968,0.00378911,26905695000000.0,15624699000000.0,,,,,,,,,,,,,
ANV,2025,,,,,,,,,,128739197732.0,0.57895088,0.11233677,0.10096434,0.16818559,0.12272109,12230.67302255,1248.04444625,2.50190647,24.51835757,0.25238165,13.4762684,3504425921790.0,215882472374.0
ANV,2025,,,,,,,,,,673745234347.0,0.59061403,0.14505685,0.14786536,0.24049118,0.17037667,13280.78441838,1061.53848551,2.01795309,25.24637624,0.32869898,11.62101449,4934505844469.0,863128081422.0
ANV,2025,,,,,,,,,,39191645110.0,0.65152603,0.1686557,0.18704579,0.31611227,0.21528631,,,,,0.41542085,13.67630986,4461787494846.0,183317623157.0
ANV,2025,,,,,,,,,,47832173647.0,0.65152603,0.1686557,0.18704579,0.31611227,0.21528631,13225.71632241,3748.03027955,1.83732959,6.48340547,0.41542085,13.67630986,4939111900770.0,194233808433.0
ANV,2026,,,,,,,,,,999477864573.0,0.62957426,0.16350713,0.18750076,0.30253528,0.2125275,13958.30590925,732.58958685,1.74089894,33.17000465,0.5368409,5.47487778,6992490669181.0,1172411501326.0
BCM,2025,,,,,,,,,,1450981675856.0,1.81784661,0.29830024,0.04270891,0.1252888,0.04284314,19273.08277953,346.15042347,3.53342539,196.7352786,-0.22516144,0.00888941,7117479718149.0,2001846051849.0
BCM,2025,,,,,,,,,,1700055767317.0,1.65137797,0.41034352,0.06308926,0.18191856,0.07105778,20419.89990448,1425.73665733,3.2664215,46.78283304,-0.01678427,0.4180937,6582062928055.0,1476607000503.0
BCM,2025,,,,,,,,,,2423168916542.0,1.63413161,0.3920854,0.06329941,0.18016738,0.06440862,20765.43172558,401.62652106,3.27948876,169.56051563,-0.07708955,0.37172489,8174569493181.0,2782588929463.0
BCM,2025,,,,,,,,,,2187091169310.0,1.60747304,0.34755739,0.05848374,0.16527487,0.05228403,,,,,0.32710468,0.46238018,5313486976247.0,1784638738349.0
BCM,2025,,,,,,,,,,3500888372407.0,1.60747304,0.34755739,0.05848374,0.16527487,0.05228403,22004.88925569,3382.50084291,2.46308897,16.02364715,0.32710468,0.46238018,6974526741121.0,2416571863870.0
BID,2025,,0.0189381,0.9684793,0.84506591,0.02222999,0.18029252,0.13959523,0.0479195,46823308000000.0,10540138000000.0,,,,,,,,,,,,,
BID,2025,,0.01979029,0.89094591,0.83444497,0.02130087,0.16074575,0.14824221,0.02690559,46823308000000.0,10540138000000.0,,,,,,,,,,,,,
BID,2025,,0.01874841,0.94530816,0.85028495,0.02078403,0.14784742,0.11392091,0.04386474,55959698000000.0,18085912000000.0,,,,,,,,,,,,,
